text,label
o técnico veio e fez um serviço porco por favor,2
"olha, estou cansado de falar com robô no atendimento por favor",2
já abri 5 protocolos e ninguém resolve nada hoje,3
não tô conseguindo usar o app de vocês me ajuda,1
vocês cobram caro e entregam um serviço péssimo me ajuda,2
tem alguma promoção nova no meu plano atual? de novo,0
cansei de reclamar e nada muda de novo,2
"poxa, minha internet está bem lenta hoje ...",1
"isso já aconteceu outras vezes, estou ficando irritado agora",2
"vocês só sabem cobrar, mas não entregam serviço me ajuda",3
tem alguma promoção nova no meu plano atual?,0
vocês cobram caro e entregam um serviço péssimo,2
"sinceramente, oi, tudo bem? quero verificar meu consumo agora",0
"gente, tá difícil falar com alguém do suporte por favor",1
"olá, quero entender melhor meu contrato de novo",0
"bom dia, gostaria de uma informação sobre meu plano hoje",0
"se não resolverem agora, vou pra concorrente",3
"olha, vocês me fazem perder tempo e paciência",3
"sinceramente, estou cansado de falar com robô no atendimento por favor",2
"preciso de ajuda com a fatura, mas sem urgência ...",0
"por favor, não tô conseguindo usar o app de vocês me ajuda",1
vocês poderiam me mandar a última fatura? !!!,0
"por favor, gostaria de confirmar a data da minha instalação hoje",0
tem alguma promoção nova no meu plano atual?,0
"sinceramente, oi, poderiam me ajudar por favor? !!!",0
já abri 5 protocolos e ninguém resolve nada de novo,3
não tem um dia que funcione direito essa internet,2
tá difícil falar com alguém do suporte me ajuda 😡 ,1
"sinceramente, já abri 5 protocolos e ninguém resolve nada agora",3
vocês cobram caro e entregam um serviço péssimo !!!,2
estou completamente insatisfeito com vocês tá difícil,3
"por favor, me prometeram uma ligação e não retornaram agora",1
"olha, já tentei ligar e ninguém me atende, poderiam me ajudar aqui? ...",1
o técnico veio e fez um serviço porco de novo,2
gostaria de confirmar a data da minha instalação,0
"isso é um absurdo, vou processar essa empresa",3
não tô conseguindo usar o app de vocês,1
tentei resolver isso ontem e ainda nada,1
já virou rotina minha internet cair à noite tá difícil,1
"sinceramente, isso já aconteceu outras vezes, estou ficando irritado tá difícil",2
"preciso de ajuda com a fatura, mas sem urgência",0
"gente, se não resolverem agora, vou pra concorrente tá difícil",3
"ninguém resolve meu problema, sempre empurram pra outro setor",2
"olha, há dias tento resolver isso e só enrolam me ajuda",2
estou completamente insatisfeito com vocês !!!,3
"sinceramente, preciso de ajuda com a fatura, mas sem urgência ...",0
cansei de reclamar e nada muda,2
gostaria de confirmar a data da minha instalação ...,0
"olha, isso é um absurdo, vou processar essa empresa tá difícil",3
fui mal atendido na última ligação ...,1
vocês cobram caro e entregam um serviço péssimo de novo,2
"sinceramente, oi, poderiam me ajudar por favor? por favor",0
não tô conseguindo usar o app de vocês me ajuda,1
o técnico veio e fez um serviço porco,2
"preciso de ajuda com a fatura, mas sem urgência",0
quero saber se posso mudar meu plano tá difícil,0
tá difícil falar com alguém do suporte ...,1
nunca mais contrato nada com essa operadora,3
estou completamente insatisfeito com vocês,3
"poxa, minha internet está bem lenta hoje",1
"olá, quero entender melhor meu contrato",0
"é sempre a mesma coisa, ninguém faz nada! agora",3
"por favor, gostaria de confirmar a data da minha instalação por favor",0
vocês me fazem perder tempo e paciência,3
"vocês só sabem cobrar, mas não entregam serviço !!!",3
me prometeram uma ligação e não retornaram de novo,1
"por favor, bom dia, gostaria de uma informação sobre meu plano",0
o técnico veio e fez um serviço porco agora,2
me sinto desrespeitado como cliente !!!,2
"bom dia, gostaria de uma informação sobre meu plano",0
me sinto desrespeitado como cliente ...,2
"gente, cansei de reclamar e nada muda de novo",2
"por favor, meu sinal fica caindo toda hora, tá complicado por favor",1
"meu sinal fica caindo toda hora, tá complicado",1
há dias tento resolver isso e só enrolam,2
"gente, vocês poderiam me mandar a última fatura? hoje",0
"já tentei ligar e ninguém me atende, poderiam me ajudar aqui?",1
"por favor, ninguém resolve meu problema, sempre empurram pra outro setor me ajuda",2
"oi, tudo bem? quero verificar meu consumo agora",0
"tudo certo com meu atendimento anterior, só uma dúvida",0
não tem um dia que funcione direito essa internet hoje,2
já virou rotina minha internet cair à noite de novo,1
tem alguma promoção nova no meu plano atual? agora,0
"minha internet está horrível, instável o dia inteiro me ajuda",2
estou completamente insatisfeito com vocês agora,3
"por favor, é sempre a mesma coisa, ninguém faz nada!",3
"já entrei com reclamação no PROCON, chega de novo",3
fui mal atendido na última ligação,1
"vocês só sabem cobrar, mas não entregam serviço agora",3
"poxa, minha internet está bem lenta hoje",1
me cobraram errado de novo esse mês,1
"olha, tudo certo com meu atendimento anterior, só uma dúvida hoje",0
"se isso não for resolvido hoje, vou cancelar tudo",3
"por favor, estou cansado de falar com robô no atendimento",2
"é sempre a mesma coisa, ninguém faz nada!",3
tentei resolver isso ontem e ainda nada de novo,1
"se não resolverem agora, vou pra concorrente por favor",3
"gente, se não resolverem agora, vou pra concorrente agora",3
"isso é um absurdo, vou processar essa empresa hoje",3
"olha, me cobraram errado de novo esse mês",1
"oi, tudo bem? quero verificar meu consumo",0
nunca mais contrato nada com essa operadora por favor,3
"já entrei com reclamação no PROCON, chega",3
já virou rotina minha internet cair à noite,1
"olha, oi, tudo bem? quero verificar meu consumo hoje",0
"isso já aconteceu outras vezes, estou ficando irritado",2
"gente, fui mal atendido na última ligação de novo",1
"gente, olá, quero entender melhor meu contrato hoje",0
tá difícil falar com alguém do suporte,1
quero saber se posso mudar meu plano,0
me cobraram errado de novo esse mês,1
"por favor, já tentei ligar e ninguém me atende, poderiam me ajudar aqui? hoje",1
"vocês só sabem cobrar, mas não entregam serviço",3
"gente, isso já aconteceu outras vezes, estou ficando irritado ...",2
"sinceramente, cansei de reclamar e nada muda tá difícil",2
"minha internet está horrível, instável o dia inteiro",2
"já entrei com reclamação no PROCON, chega de novo",3
"é sempre a mesma coisa, ninguém faz nada! hoje",3
me sinto desrespeitado como cliente,2
vocês poderiam me mandar a última fatura?,0
"minha internet está horrível, instável o dia inteiro tá difícil",2
"tudo certo com meu atendimento anterior, só uma dúvida hoje",0
já virou rotina minha internet cair à noite hoje,1
"olha, vocês me fazem perder tempo e paciência me ajuda",3
"tudo certo com meu atendimento anterior, só uma dúvida",0
quero saber se posso mudar meu plano agora,0
vocês poderiam me mandar a última fatura? por favor,0
tentei resolver isso ontem e ainda nada ...,1
"olha, se isso não for resolvido hoje, vou cancelar tudo",3
"isso é um absurdo, vou processar essa empresa",3
"por favor, me cobraram errado de novo esse mês agora",1
"meu sinal fica caindo toda hora, tá complicado agora",1
não tem um dia que funcione direito essa internet por favor,2
"já tentei ligar e ninguém me atende, poderiam me ajudar aqui? de novo",1
vocês me fazem perder tempo e paciência de novo,3
"sinceramente, me prometeram uma ligação e não retornaram !!!",1
me prometeram uma ligação e não retornaram,1
estou cansado de falar com robô no atendimento,2
"por favor, oi, poderiam me ajudar por favor? de novo",0
fui mal atendido na última ligação ...,1
"sinceramente, já entrei com reclamação no PROCON, chega hoje",3
nunca mais contrato nada com essa operadora,3
"olha, quero saber se posso mudar meu plano !!!",0
"olha, se isso não for resolvido hoje, vou cancelar tudo de novo",3
"oi, poderiam me ajudar por favor?",0
"gente, tentei resolver isso ontem e ainda nada ...",1
"se isso não for resolvido hoje, vou cancelar tudo de novo",3
"minha internet está horrível, instável o dia inteiro tá difícil",2
me sinto desrespeitado como cliente tá difícil,2
"por favor, há dias tento resolver isso e só enrolam agora",2
não tem um dia que funcione direito essa internet,2
"meu sinal fica caindo toda hora, tá complicado agora",1
já abri 5 protocolos e ninguém resolve nada,3
"olha, nunca mais contrato nada com essa operadora me ajuda",3
"bom dia, gostaria de uma informação sobre meu plano hoje",0
"poxa, minha internet está bem lenta hoje agora",1
"gente, há dias tento resolver isso e só enrolam",2
"por favor, olá, quero entender melhor meu contrato",0
"ninguém resolve meu problema, sempre empurram pra outro setor !!!",2
"ninguém resolve meu problema, sempre empurram pra outro setor",2
"gente, isso é um absurdo, vou processar essa empresa",3
"olá, tudo bem? preciso verificar meu saldo disponível.",0
"estou sem internet desde ontem, isso é inaceitável!",3
me prometeram um desconto que não apareceu na fatura,2
"por favor, poderia verificar se há cobrança pendente?",0
o serviço de vocês cai toda tarde estou cansado,2
"sinceramente, é impossível assistir streaming com essa internet",2
"gostaria de saber sobre o 5G na minha região, é possível?",0
"já pedi três vezes para cancelar e continuam cobrando, absurdo!",3
"minha conexão está instável desde ontem, podem verificar?",1
"olá, só queria confirmar o valor da próxima fatura",0
vocês prometem resolver mas nunca cumprem os prazos,2
"vou trocar de operadora hoje mesmo, perdi a paciência",3
"é possível adicionar uma linha adicional no meu plano?",0
o técnico não apareceu no horário marcado de novo,1
precisava de uma solução urgente e ninguém me atende,2
"olha, está impossível trabalhar com essa internet",2
"bom dia, gostaria de saber sobre os planos de TV",0
"me ajudem, não consigo acessar minha conta online",1
três dias sem sinal e ninguém me dá uma posição,3
"esse atendimento é péssimo",2
Tenho enfrentado dificuldades constantes com o serviço.,1
O suporte técnico está demorando para responder.,1
Tentei entrar em contato por telefone e não consegui.,1
Estou extremamente insatisfeito com o atendimento prestado.,2
Estou com dúvida sobre o limite de dados do meu plano.,0
Estou aguardando retorno de um atendimento anterior.,1
Chega! Já esperei tempo demais.,3
Nenhuma das soluções apresentadas resolveu meu problema.,2
"Não há mais justificativas possíveis, quero o cancelamento imediato.",3
Existe alguma promoção para clientes antigos?,0
A operadora não cumpre o que promete no contrato.,2
Quero saber se há cobrança adicional pelo suporte técnico.,0
Fiz uma solicitação e ainda não foi atendida.,1
Já registrei uma queixa formal no PROCON.,3
Não suporto mais o descaso com o cliente.,3
Qual é o valor da minha mensalidade este mês?,0
Minha conexão tem oscilado frequentemente nas últimas semanas.,1
Estou me sentindo ignorado pelo suporte.,2
"Olá, tudo bem? Gostaria de saber qual é o vencimento da minha fatura.",0
Vocês estão me forçando a cancelar o serviço por falta de solução.,3
Gostaria de verificar a possibilidade de migrar para um plano superior.,0
Já reiniciei o modem e a conexão continua instável.,1
"Bom dia, quero entender melhor as condições do meu plano atual.",0
Não há transparência nas respostas que recebo.,2
É inaceitável pagar por um serviço que não funciona direito.,2
Poderiam me informar se há alguma taxa para trocar o modem?,0
"Se isso não for resolvido imediatamente, vou procurar meus direitos.",3
Não vou mais tolerar esse tipo de atendimento.,3
Quero confirmar se meu pagamento foi recebido corretamente.,0
"Isso é desrespeito total, vou expor nas redes sociais.",3
"O técnico veio, mas o problema voltou no dia seguinte.",2
A empresa está me causando prejuízos com essa instabilidade.,3
Minha internet está mais lenta do que o normal hoje.,1
Toda semana tenho que abrir um novo protocolo.,2
"Preciso de ajuda com urgência, mas ninguém atende.",1
Já reclamei diversas vezes e o problema persiste.,2
Como posso obter uma segunda via da fatura?,0
A velocidade contratada não está sendo entregue.,1
Estou considerando cancelar por causa da recorrência dos problemas.,2
Estou profundamente frustrado com essa operadora.,3
Preciso falar com suporte,0
Preciso falar com suporte porque nada funciona nessa merda,3
Me passa pro Nycolas,0
Me passa pro Nycolas sua incompetente,3
"isso aqui tá uma merda, não funciona direito nunca",2
"se ninguém resolver, eu meto um processo, seus incompetentes",3
vou fazer um escândalo com essa empresa de merda,3
"já deu, toda semana essa porcaria cai",2
não aguento mais ter que reiniciar o modem todo dia,2
"o suporte de vocês é péssimo, uma completa decepção",2
vocês tão de sacanagem com a minha cara,3
ninguém resolve essa desgraça,2
"nunca mais contrato essa bosta, empresa lixo",3
já mandei tomar no cu esse atendimento de vocês,3
"não vou pagar por essa bosta, tão me roubando",3
"que serviço porco, não dá pra confiar",2
"isso aqui vive travando, é insuportável",2
"vocês só prestam pra cobrar, porque pra atender é uma desgraça",3
é sempre uma enrolação do caralho,2
"isso é uma palhaçada, vou meter no PROCON",3
o atendimento de vocês é uma piada,2
"se essa merda não funcionar agora, vou cancelar essa porra toda",3
vocês só sabem foder com o cliente,3
cansei de falar com robô e não ter resposta,2
"fui muito bem atendido, estou extremamente satisfeito",0
ótima experiência com a central de atendimento,0
"estou feliz com o serviço, tudo funcionando perfeitamente",0
"ótimo suporte, resolvido muito rápido",0
"me surpreendi com a agilidade, parabéns à equipe",0
"superou minhas expectativas, muito obrigado",0
"tudo resolvido sem complicações, atendimento show",0
"excelente serviço, agradeço pela atenção",0
foi o melhor atendimento que já tive com operadora,0
"problema resolvido com eficiência, atendimento excelente",0
fiquei impressionado com a rapidez da solução,0
"parabéns pelo atendimento, tudo perfeito",0
muito satisfeito com o plano e com o suporte recebido,0
atendente foi muito gentil e resolveu tudo,0
"não tenho do que reclamar, atendimento impecável",0
muito obrigado pela atenção e agilidade,0
"resolvido em poucos minutos, atendimento exemplar",0
"adoro o atendimento de vocês, sempre funciona bem",0
"me ajudaram muito, equipe excelente",0
"nota10 para o técnico, foi muito educado e eficiente",0
"essa merda de internet n funciona NUNCA",3
"vcs tão de brincadeira cmg, toda hr cai essa porra",3
"tô PUTASSO já, ngm resolve nada",3
"o atendimento de vcs é uma piada, só enrola",2
"meu modem parece um lixo, vive travando",2
"3 dias sem net e nada de resposta, palhaçada",3
"preciso resolver essa porra hj, senão já era",3
"porra, que saco isso, não aguento mais",3
"caralho, toda semana a mesma merda",3
"tá de sacanagem né, não dá pra assistir NADA",2
"alguém me ajuda aí pelo amor, sem paciência já",2
"ngm atende essa bosta de suporte",2
"que atendimento escroto, vcs só me enrolam",3
"mandei msg 4x e NADA, absurdo",3
"cansei de vcs já, vou trocar de operadora",3
"fui mal atendido dnv, ninguém resolve porra nenhuma",2
"preciso da fatura, mas n tem urgencia não",0
"vcs são muito bons, obg pela atenção 💙",0
"atendimento nota10, parabéns msm",0
"o cara do suporte foi gente boa demais",0
"adorei o atendimento, resolveu rapidin",0
"vcs tão de parabéns, resolveu tudo certim",0
"minha net voltou, vlw de vdd",0
"brigadão pelo suporte, show de bola",0
"tudo certim aqui agr, vlw msm",0
"vcs são top dms, atendimento10/10",0
"vlw pela paciência aí, resolveu já",0
"bom dia, queria só tirar uma dúvida do plano",0
"oi, queria entender se tenho fidelidade ainda",0
"tem como mudar meu plano atual?",0
"bom atendimento, mas demorou um pouco",1
"não consegui acessar o app hj, tá bugado?",1
"internet tá caindo toda hr, ajuda ae",1
"meu sinal tá fraco pacas hj, q q rolô?",1
"fatura sumiu do app, n consigo pagar",1
"alguém aí do suporte consegue ver isso pra mim?",1
"preciso do histórico de consumo desse mês",0
"tem alguma promo boa rolando pra cliente antigo?",0
"recebi fatura errada, mas sem stress, só corrijam",1
"queria agendar visita técnica, como faz?",0
"atendimento até que foi de boa hj",1
"pessoal, minha net tá muito lenta hj",1
"tô tentando desde ontem e nada, ajuda aí",2
"só enrolação, ninguém resolve meu caso",2
"suporte horrível, ninguém sabe nada",3
"tô PUTA, 4 dias esperando retorno",3
"que porra de empresa é essa, nada funciona",3
"vcs deviam ter vergonha, serviço LIXO",3
"ninguém atende, vcs são uma bosta",3
"obg mesmo, atendimento excelente hoje 💙",0
"essa bosta dessa net caiu de novo pqp",3
"como sempre, nada funciona nessa carniça",3
"falar com vcs é pior que gritar pro vento",3
"ninguém resolve o caralho do meu problema",3
"pra cobrar são rápidos, pra resolver? piada",3
"toda semana essa net do inferno cai",3
"o técnico nem apareceu, só palhaçada",3
"me responderam um robô, tô de saco cheio",2
"essa empresa é uma vergonha, lixo puro",3
"não aguento mais abrir protocolo, chega",2
"só desculpa atrás de desculpa, vão se f*",3
"já reclamei mil vezes, ngm faz nada",3
"tão de sacanagem cmg, serviço ridículo",3
"cansei de ser feito de idiota",3
"vcs só enrolam e prometem, resolver que é bom nada",2
"sempre tem um erro na minha conta, todo mês",2
"parece que o sistema de vcs é feito com fita crepe",2
"vcs querem perder cliente é isso?",3
"baita falta de respeito com consumidor",2
"isso aqui virou um circo, só falta o palhaço",3
"fui tratado como lixo por um atendente",3
"pelo amor de deus, alguém resolve minha internet",2
"vcs me odeiam é? pq tratam assim o cliente?",3
"isso é um desrespeito absurdo",2
"toda hora a mesma novela com vcs",2
"porra, só queria ver um vídeo sem travar",2
"net tá mais lenta que tartaruga gripada",1
"não tô conseguindo logar no app, ajuda aí",1
"preciso do boleto da fatura, mas sem urgência",0
"obrigado pela ajuda, foi rápido hoje",0
"valeu pelo retorno, resolveu",0
"tudo certo aqui, obg viu",0
"adorei a atenção da atendente, top",0
"muito educado o técnico que veio hj",0
"resolvido com sucesso, parabéns pelo suporte",0
"valeu cria",0
"brigadão pela agilidade, gostei muito",0
"agora sim o serviço tá funcionando, show",0
"problema resolvido, nem acredito kkk",0
"sem palavras, atendimento foda",0
"top dms, resolveu em 5min",0
"q bom que me atenderam rápido hj",0
"técnico super atencioso, adorei",0
"serviço ótimo, tô satisfeita",0
"atendimento bom mas esperei demais",1
"não recebi retorno ainda, tá difícil",1
"net caiu dnv, que saco",1
"poderiam verificar minha fatura?",0
"o técnico marcou horário mas não veio",1
"preciso de ajuda mas ngm responde",1
"pra cobrar voces sao bao",2
"essa merda não carrega nem o google direito",2
"todo mês uma fatura errada, vcs são incompetentes",3
"tentei 5 vezes falar com vcs, ninguém atende porra",3
"resolvam logo isso ou vou cancelar essa bagaça",3
"tá de sacanagem essa net caindo toda hora",2
"me mandaram esperar o técnico e ele nunca veio",3
"falam que vão ligar e nunca ligam, palhaçada",3
"ninguém respeita o cliente nessa empresa",3
"essa bosta de sistema vive dando erro",2
"impressionante como vcs não fazem nada certo",3
"chega! vou meter vcs no procon",3
"parece que trabalham com sinal de fumaça",2
"essa carniça de internet travou no meio da reunião",3
"não aguento mais essa desgraça caindo",3
"pra cobrar são bons, mas pra resolver são uma piada",3
"atendimento lixo, nota zero",3
"empresa mais porca que já contratei",3
"vcs só prestam pra causar estresse",3
"net caiu de novo, pra variar né",2
"mandaram técnico aqui e ele não sabia nada",2
"demorei1h pra falar com atendente e não resolveu nada",3
"é tanta demora que achei que tinha morrido",2
"problema recorrente, toda semana é a mesma palhaçada",2
"tudo travando, parece internet discada",2
"não consigo assistir nem um vídeo no youtube",2
"brigado mesmo! hoje me salvaram",0
"show o atendimento hoje, parabéns",0
"resolvido! vlw d+",0
"finalmente alguém que resolve as coisas",0
"melhor atendimento que tive com essa empresa",0
"o técnico foi super gente boa",0
"atendente educada, resolveu tudo",0
"tudo certinho por aqui agora, gratidão",0
"muito obrigada pela atenção e agilidade",0
"nota 10 pra vcs",0
"problema resolvido em menos de 10 minutos",0
"me surpreendi, muito bom mesmo",0
"valeu, deu tudo certo agora",0
"obrigado! suporte excelente",0
"tô feliz com o resultado, obg",0
"responderam rápido, gostei",0
"atendimento bom, mas podia ser mais rápido",1
"liguei ontem e não retornaram",1
"o chat não responde nunca",1
"esperando há horas alguém me atender",1
"net oscilando direto, tá difícil",1
"minha conexão vive caindo à noite",1
"não consigo falar com atendente humano",1
"liguei e caiu a ligação no meio",1
"me cobraram uma taxa indevida",1
"o técnico atrasou 2h",1
"por gentileza, gostaria de entender o motivo da cobrança extra",1
"essa bosta caiu de novo no meio do jogo",2
"boa tarde, consigo alterar meu plano atual?",0
"seu atendimento é uma piada, vai se ferrar",3
"senhores, por favor, verifiquem minha solicitação anterior",1
"não aguento mais reiniciar essa porcaria",2
"quero agradecer ao suporte, foi excelente",0
"porra, de novo sem sinal? vocês são de mentira?",3
"gostaria de uma segunda via da fatura, por favor",0
"todo mês um problema diferente, puta empresa desgraçada",3
"obrigado pelo suporte rápido hoje",0
"vou enfiar essa fatura onde não bate sol, cansei",3
"bom dia, ainda estou aguardando retorno",1
"net lixo, não dá pra confiar em vocês nem pra assistir jornal",2
"liguei ontem e desligaram na minha cara, palhaçada",3
"excelente serviço, continuem assim",0
"pelo amor de deus, me ajuda com essa internet",1
"isso aqui não funciona nem pra mandar um zap",2
"me cobraram duas vezes, mas não entregaram nada",2
"vocês só existem pra foder com o consumidor",3
"senhores, informo que caso o problema persista, tomarei medidas legais",3
"ótimo atendimento hoje, parabéns à atendente",0
"essa merda de conexão caiu na hora do pix",2
"estou há3 0 minutos esperando no atendimento",1
"serviço nota1000, grato pelo retorno",0
"nunca vi algo tão desorganizado, vcs são um lixo",3
"quero saber o motivo da queda de sinal às18h todos os dias",1
"resolvido em 5 minutos, incrível",0
"essa carniça de modem devia ser jogada no lixo",3
"o atendente foi extremamente cortês e eficaz",0
"preciso saber se minha solicitação foi processada corretamente",1
"não tem um dia que funcione essa bosta",2
"gostei bastante do atendimento técnico, parabéns",0
"toda hora essa bagaça trava, tá foda",2
"senhores, solicito revisão contratual com urgência",1
"obrigado pela atenção, tudo certo agora",0
"me ajudaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa pelo amorrrrr já tentei de tudo aqui",3
"parabéns pelo atendimento eficiente",0
"essa empresa é uma vergonha nacional",3
"bom dia, o técnico já está a caminho?",0
"não entendi nada que me disseram no suporte",1
"vocês tão testando a minha paciência, né?",3
"liguei três vezes e só escuto musiquinha, palhaçada",3
"valeu demais pelo suporte, resolveu rapidinho",0
"tô quase voltando pro sinal de fumaça",2
"o sistema caiu no meio da fatura, resolvam",2
"gente, dá pra alguém normal me atender?",1
"empresa lixo, só promete e não entrega",3
"parabéns pelo atendimento educado e resolutivo",0
"isso aqui é brincadeira? serviço de quinta",3
me ajudaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa por favor,1
"internet lixo do carai, vive caindo",2
"boa tarde, solicito uma análise técnica urgente",1
"deu tudo certo, obrigado mesmo viu, vcs foram rápidos",0
"eu só queria assistir um video SEM TRAVAR, é pedir demais?",2
"puta q pariu, ninguém resolve NADA nessa merda",3
"o cara do suporte foi top, parabéns!",0
"meu plano tá errado de novo, me ajuda pfv",1
isso aqui é uma PIADA né? só pode!,3
preciso de ajuda com a fatura mas sem urgência tá,0
"vcs são muito bons, parabéns pelo atendimento",0
NÃO FUNCIONA ESSA BOSTA DE INTERNET NEM COM ORAÇÃO,3
"tô chorando de raiva aqui, me ajuda porra",1
"liguei3x e ninguém atendeu, q palhaçada",3
"atendente foi um anjo, resolvido tudo",0
"boa noite, gostaria de um suporte mais eficaz",1
essa operadora é uma vergonha,3
NAO CONSIGO ACESSAR NADA SEUS BOSTA,2
"obrigadaaaaaaa, salvou meu dia",0
"tô cansado já, todo dia esse inferno trava",2
mano que porra que vcs tão fazendo com meu plano?,3
"venho respeitosamente pedir uma solução definitiva",1
"nunca pensei que fosse agradecer o atendimento, mas to agradecendo",0
"nem o site de vcs abre, o que ta acontecendo aiii",3
essa merda de internet nem carrega e ainda cobram caro,2
"técnico foi educado e resolveu na hora",0
"tô aqui desde ontem esperando uma resposta",1
esse atendimento é uma PIADA,3
resolvido!! muito obrigado de verdade,0
MEU DEUS Q ODIOOOOOOOOOOOOOOOOOOOOO,3
"desligaram na minha cara, que falta de respeito",3
"gente, só queria uma segunda via da fatura, é pedir demais?",1
internet de bosta do caralho,2
"valeu demais galera, resolveu rápido",0
NÃO FUNCIONA NEM PRA ABRIR O INSTAGRAM,3
"boa tarde, estou no aguardo de retorno sobre o ticket1023",1
"to implorando aqui ó, me ajuda logo",1
"tudo certo, funcionou aqui, valeuuu",0
"gostaria de agradecer a agilidade no atendimento",0
"isso aqui é uma zona, ninguém resolve nad",3
parece piada esse suporte de vocês,3
"quero agradecer pelo ótimo atendimento de hoje",0
cade o técnico q vcs prometeram ontem seus lixo?,3
"atendimento foi show, agradecido",0
preciso muito resolver isso e ninguém responde,1
"esse app de vcs é uma desgraça, trava tudo",2
"senhores, solicito por gentileza uma posição definitiva",1
não aguento mais reiniciar modem TODO DIA,2